"ID Comida";"ID  BF";"Fecha Hora";"ID Donantes";"Tipo de comida";"Descripción";"Cantidad (un. o kg)"
"C2512"";""B033"";""8/3/2022 21:09"";""D026";"COMIDA PREPARADA";"QUICHE DE ESPINACAS Y QUESO";"5"
"C2508";"B032";"8/3/2022 21:08";"D008";"COMIDA PREPARADA";"LENTEJAS CON CHORIZO";"4"
"C2515";"B029";"8/3/2022 21:08";"D026";"Bollería";"Bollería";"4"
"C2508";"B029";"8/3/2022 21:08";"D008";"COMIDA PREPARADA";"LENTEJAS CON CHORIZO";"4"
"C2515";"B026";"8/3/2022 21:08";"D026";"Bollería";"Bollería";"5"
"C2515";"B021";"8/3/2022 21:07";"D026";"Bollería";"Bollería";"4"
"C2511";"B042";"8/3/2022 21:07";"D026";"COMIDA PREPARADA";"QUICHE DE ATUN";"5"
"C2515";"B012";"8/3/2022 21:06";"D026";"Bollería";"Bollería";"5"
"C2515";"B018";"8/3/2022 21:06";"D026";"Bollería";"Bollería";"5"
"C2515";"B035";"8/3/2022 21:06";"D026";"Bollería";"Bollería";"5"
"C2508";"B012";"8/3/2022 21:00";"D008";"COMIDA PREPARADA";"LENTEJAS CON CHORIZO";"5"
"C2512";"B001";"8/3/2022 20:59";"D026";"COMIDA PREPARADA";"QUICHE DE ESPINACAS Y QUESO";"5"
"C2507";"B033";"8/3/2022 20:37";"D008";"COMIDA PREPARADA";"PATATAS REVOLCONAS CON TOCINO";"4"
"C2505";"B032";"8/3/2022 20:36";"D008";"COMIDA PREPRADA";"CREMA DE VERDURAS";"3"
"C2507";"B029";"8/3/2022 20:36";"D008";"COMIDA PREPARADA";"PATATAS REVOLCONAS CON TOCINO";"4"
"C2507";"B026";"8/3/2022 20:36";"D008";"COMIDA PREPARADA";"PATATAS REVOLCONAS CON TOCINO";"4"
"C2505";"B024";"8/3/2022 20:35";"D008";"COMIDA PREPRADA";"CREMA DE VERDURAS";"2"
"C2505";"B021";"8/3/2022 20:34";"D008";"COMIDA PREPRADA";"CREMA DE VERDURAS";"2"
"C2507";"B021";"8/3/2022 20:34";"D008";"COMIDA PREPARADA";"PATATAS REVOLCONAS CON TOCINO";"4"
"C2506";"B042";"8/3/2022 20:33";"D008";"COMIDA PREPARADA";"JUDIAS CON CHORIZO";"4"
"C2507";"B018";"8/3/2022 20:32";"D008";"COMIDA PREPARADA";"PATATAS REVOLCONAS CON TOCINO";"2"
"C2507";"B012";"8/3/2022 20:32";"D008";"COMIDA PREPARADA";"PATATAS REVOLCONAS CON TOCINO";"4"
"C2507";"B036";"8/3/2022 20:31";"D008";"COMIDA PREPARADA";"PATATAS REVOLCONAS CON TOCINO";"2"
"C2505";"B036";"8/3/2022 20:30";"D008";"COMIDA PREPRADA";"CREMA DE VERDURAS";"2"
"C2505";"B035";"8/3/2022 20:30";"D008";"COMIDA PREPRADA";"CREMA DE VERDURAS";"4"
"C2507";"B035";"8/3/2022 20:30";"D008";"COMIDA PREPARADA";"PATATAS REVOLCONAS CON TOCINO";"5"
"C2507";"B034";"8/3/2022 20:29";"D008";"COMIDA PREPARADA";"PATATAS REVOLCONAS CON TOCINO";"2"
"C2505";"B037";"8/3/2022 20:29";"D008";"COMIDA PREPRADA";"CREMA DE VERDURAS";"1"
"C2507";"B037";"8/3/2022 20:29";"D008";"COMIDA PREPARADA";"PATATAS REVOLCONAS CON TOCINO";"1"
"C2507";"B001";"8/3/2022 20:28";"D008";"COMIDA PREPARADA";"PATATAS REVOLCONAS CON TOCINO";"4"
"C2500";"B042";"7/3/2022 21:33";"D012";"Fruta y verdura";"fruta y verdura";"1"
"C2500";"B042";"7/3/2022 21:33";"D012";"Fruta y verdura";"fruta y verdura";"2"
"C2499";"B042";"7/3/2022 21:33";"D001";"Comida preparada";"Brochetas de pollo ";"2"
"C2501";"B042";"7/3/2022 21:33";"D002";"Comida preparada";"Alubias con chorizo";"2"
"C2500";"B029";"7/3/2022 21:32";"D012";"Fruta y verdura";"fruta y verdura";"1"
"C2503";"B026";"7/3/2022 21:24";"D004";"Pan";"Pan";"1"
"C2500";"B026";"7/3/2022 21:24";"D012";"Fruta y verdura";"fruta y verdura";"3"
"C2501";"B026";"7/3/2022 21:24";"D002";"Comida preparada";"Alubias con chorizo";"3"
"C2500";"B037";"7/3/2022 21:20";"D012";"Fruta y verdura";"fruta y verdura";"3"
"C2501";"B037";"7/3/2022 21:20";"D002";"Comida preparada";"Alubias con chorizo";"3"
"C2499";"B037";"7/3/2022 21:20";"D001";"Comida preparada";"Brochetas de pollo ";"3"
"C2503";"B036";"7/3/2022 21:19";"D004";"Pan";"Pan";"1"
"C2500";"B036";"7/3/2022 21:19";"D012";"Fruta y verdura";"fruta y verdura";"2"
"C2501";"B036";"7/3/2022 21:19";"D002";"Comida preparada";"Alubias con chorizo";"3"
"C2499";"B035";"7/3/2022 21:18";"D001";"Comida preparada";"Brochetas de pollo ";"3"
"C2499";"B035";"7/3/2022 21:18";"D001";"Comida preparada";"Brochetas de pollo ";"3"
"C2500";"B024";"7/3/2022 21:17";"D012";"Fruta y verdura";"fruta y verdura";"2"
"C2499";"B024";"7/3/2022 21:17";"D001";"Comida preparada";"Brochetas de pollo ";"2"
"C2501";"B024";"7/3/2022 21:17";"D002";"Comida preparada";"Alubias con chorizo";"2"
"C2501";"B024";"7/3/2022 21:12";"D002";"Comida preparada";"Alubias con chorizo";"2"
"C2501";"B024";"7/3/2022 21:09";"D002";"Comida preparada";"Alubias con chorizo";"2"
"C2500";"B021";"7/3/2022 21:09";"D012";"Fruta y verdura";"fruta y verdura";"1"
"C2500";"B021";"7/3/2022 21:09";"D012";"Fruta y verdura";"fruta y verdura";"2"
"C2501";"B021";"7/3/2022 21:09";"D002";"Comida preparada";"Alubias con chorizo";"2"
"C2501";"B018";"7/3/2022 21:08";"D002";"Comida preparada";"Alubias con chorizo";"2"
"C2500";"B018";"7/3/2022 21:08";"D012";"Fruta y verdura";"fruta y verdura";"2"
"C2503";"B018";"7/3/2022 21:08";"D004";"Pan";"Pan";"1"
"C2503";"B034";"7/3/2022 21:07";"D004";"Pan";"Pan";"1"
"C2500";"B034";"7/3/2022 21:07";"D012";"Fruta y verdura";"fruta y verdura";"3"
"C2501";"B034";"7/3/2022 21:07";"D002";"Comida preparada";"Alubias con chorizo";"3"
"C2503";"B033";"7/3/2022 21:03";"D004";"Pan";"Pan";"1"
"C2502";"B033";"7/3/2022 21:03";"D006";"Fruta y verdura";"Verdura";"2"
"C2499";"B033";"7/3/2022 21:03";"D001";"Comida preparada";"Brochetas de pollo ";"3"
"C2501";"B033";"7/3/2022 21:03";"D002";"Comida preparada";"Alubias con chorizo";"3"
"C2503";"B012";"7/3/2022 21:03";"D004";"Pan";"Pan";"1"
"C2500";"B012";"7/3/2022 21:02";"D012";"Fruta y verdura";"fruta y verdura";"2"
"C2499";"B012";"7/3/2022 21:02";"D001";"Comida preparada";"Brochetas de pollo ";"2"
"C2500";"B012";"7/3/2022 21:02";"D012";"Fruta y verdura";"fruta y verdura";"2"
"C2501";"B012";"7/3/2022 21:02";"D002";"Comida preparada";"Alubias con chorizo";"3"
"C2499";"B012";"7/3/2022 21:02";"D001";"Comida preparada";"Brochetas de pollo ";"3"
"C2503";"B001";"7/3/2022 21:01";"D004";"Pan";"Pan";"1"
"C2500";"B001";"7/3/2022 21:01";"D012";"Fruta y verdura";"fruta y verdura";"3"
"C2501";"B001";"7/3/2022 21:01";"D002";"Comida preparada";"Alubias con chorizo";"3"
"C2494";"B042";"3/3/2022 21:14";"D012";"Fruta y verdura";"Plátanos, manzanas, pimientos, kiwis, tomates, champiñones, chirimoyas";"1"
"C2494";"B037";"3/3/2022 21:14";"D012";"Fruta y verdura";"Plátanos, manzanas, pimientos, kiwis, tomates, champiñones, chirimoyas";"1"
"C2494";"B036";"3/3/2022 21:13";"D012";"Fruta y verdura";"Plátanos, manzanas, pimientos, kiwis, tomates, champiñones, chirimoyas";"1"
"C2494";"B035";"3/3/2022 21:13";"D012";"Fruta y verdura";"Plátanos, manzanas, pimientos, kiwis, tomates, champiñones, chirimoyas";"1"
"C2494";"B034";"3/3/2022 21:13";"D012";"Fruta y verdura";"Plátanos, manzanas, pimientos, kiwis, tomates, champiñones, chirimoyas";"1"
